ball_1,ball_2,ball_3,ball_4,ball_5,power_ball,Count
1,20,22,60,66,3,1
3,4,11,41,67,5,1
16,20,44,57,58,6,1
7,14,24,30,56,7,1
10,33,41,47,56,10,1
28,45,53,56,69,20,1
2,11,22,35,60,23,1
13,19,36,39,59,13,1
19,31,40,46,57,23,1
19,36,37,46,56,24,1
18,23,35,45,54,16,1
19,25,48,55,60,18,1
6,8,15,27,42,10,1
19,30,36,46,60,25,1
32,37,40,58,62,15,1
14,30,41,42,59,6,1
3,6,11,17,22,11,1
13,43,53,60,68,5,1
26,30,33,37,62,6,1
2,16,22,55,63,22,1
8,21,22,65,69,26,1
6,10,24,33,67,11,1
13,20,31,33,59,20,1
3,9,21,24,29,14,1
6,33,34,45,54,7,1
7,15,36,46,67,7,1
5,25,36,51,61,1,1
9,10,20,22,52,25,1
6,14,16,34,66,25,1
38,42,56,68,69,4,1
3,16,30,33,36,20,1
4,7,32,55,64,25,1
18,27,49,65,69,9,1
7,8,19,24,28,1,1
13,36,43,61,69,18,1
2,18,56,60,65,14,1
6,24,35,37,44,22,1
12,27,34,55,67,9,1
5,9,11,16,66,7,1
23,28,41,50,55,24,1
20,24,47,50,63,5,1
19,24,35,43,62,2,1
29,44,59,61,68,19,1
32,45,51,57,58,12,1
8,15,46,56,68,3,1
9,21,56,57,66,11,1
15,21,31,36,65,16,1
4,17,57,58,68,12,1
1,25,44,55,57,26,1
25,37,38,39,65,5,1
39,41,54,59,62,12,1
10,20,23,49,65,22,1
14,34,36,50,58,5,1
3,18,23,32,57,21,1
22,23,36,47,63,2,1
4,26,34,37,52,9,1
14,22,42,46,52,24,1
32,36,49,62,69,13,1
15,16,24,31,56,4,1
9,10,37,59,62,26,1
8,40,49,58,63,14,1
11,13,18,30,37,16,1
6,12,20,27,32,4,1
6,10,31,48,56,12,1
3,44,61,63,69,13,1
10,19,40,45,58,25,1
19,28,41,42,51,7,1
2,27,42,44,51,25,1
18,20,26,53,69,5,1
22,39,43,62,64,7,1
2,10,35,44,46,4,1
14,16,36,52,60,16,1
11,41,56,57,63,2,1
27,28,51,68,69,22,1
2,39,50,61,66,15,1
19,28,39,42,57,17,1
1,33,37,39,42,26,1
14,15,25,52,58,11,1
40,41,58,64,65,17,1
7,15,22,36,64,13,1
6,40,41,45,52,9,1
5,7,61,63,69,18,1
18,30,35,52,56,5,1
4,5,6,28,67,10,1
37,39,55,63,69,23,1
18,27,33,39,44,8,1
14,21,37,44,63,1,1
11,36,61,62,68,4,1
12,18,20,39,61,10,1
10,39,47,49,56,8,1
20,30,45,55,56,14,1
8,33,55,59,62,18,1
15,21,32,62,65,26,1
14,16,41,63,68,26,1
5,7,24,31,34,4,1
6,16,31,62,66,18,1
6,42,45,47,64,18,1
2,32,39,46,69,6,1
6,28,47,58,59,18,1
3,7,21,31,37,11,1
11,18,39,58,62,3,1
2,10,50,59,61,6,1
31,32,37,38,48,24,1
1,15,26,63,65,16,1
8,9,18,48,52,6,1
3,28,34,35,58,17,1
21,28,32,44,49,6,1
19,20,37,39,61,8,1
13,22,34,51,67,10,1
10,43,55,59,67,2,1
8,23,37,52,63,13,1
19,37,48,61,63,12,1
7,21,39,47,55,19,1
15,32,36,48,64,19,1
6,17,21,35,64,18,1
2,36,37,45,69,3,1
3,10,15,33,42,11,1
22,30,40,42,48,16,1
16,25,27,49,55,17,1
8,10,21,41,62,7,1
2,17,33,51,63,26,1
5,15,38,47,65,10,1
5,16,27,39,61,24,1
18,29,33,62,63,15,1
10,15,51,61,69,14,1
2,15,38,54,65,11,1
4,11,38,49,69,16,1
11,29,30,47,53,16,1
8,14,33,36,67,17,1
11,15,43,55,61,10,1
9,24,35,46,65,22,1
3,18,37,51,59,13,1
12,21,22,30,33,24,1
14,17,18,21,27,9,1
20,21,36,60,65,13,1
6,14,25,33,46,17,1
2,13,32,33,48,22,1
6,12,39,48,50,7,1
